Sample Name,ethane,Ethene,PROPANE,Propene,I-BUTANE,N-BUTANE,ETHYNE,1-Butene,t-2-Butene,c-2-Butene,cycopentane,I-PENTANE,N-PENTANE,t-2-pentene,1-pentene,cis-2-pentene,n-Hexane,isoprene,1-hexene,"2,4 dimethylpentane",n-Heptane,Benzene,cyclohexane,"2,3-dmp",2-methylhexane,3-methylhexane,"2,2,4-tmp",methylcyclohexane,"2,3,4 tmp",Toluene,2-methylheptane,3-methylheptane,n-octane,Ethylbenzene,m+p-xylene,Styrene,o-xylene,n-nonane,I-propylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,"1,3,5-trimethylbenzene",2-ethyltoluene,"1,2,4-trimethylbenzene",n-decane,"1,2,3-trimethylbenzene","1,3-diethylbenzene","1,4-diethylbenzene",C2HCl3,C2Cl4,acetonitrile,Acetaldehyde,Acetone,Isopropanol,Methylethylketone,a-pinene,b-pinene,limonene,Camphene
100723_1330_CFLP_CH7_M,103.501,172.497,14.37,65.523,3.335,3.628,28.416,5.057,27.053,4.498,0.592,1.808,3.881,0.398,2.015,0.466,2.107,5.509,NA,0.04,0.454,21.441,0.229,0.119,0.144,NA,0.103,0.86,NA,12.341,0.155,0.457,5.948,3.704,1.425,101.866,0.627,0.622,0.299,0.426,0.478,0.176,0.239,0.228,0.647,4.428,0.362,0.091,0.092,NA,7.5,13816.033,212.627,249.98,12.825,13.295,3.468,0.353,0.462,0.064
120723_1100_PUFB_CH7_M,87.945,854.475,22.474,458.617,7.591,4.552,1826.162,1.831,14.683,1.601,0.321,3.414,3.129,0.701,1.07,0.633,2.896,3.484,NA,0.265,0.557,423.922,0.451,0.202,0.26,0.047,0.573,0.31,0.035,45.558,0.076,0.14,1.33,1.784,3.911,23.765,1.044,0.189,0.058,0.109,0.485,0.43,0.354,0.112,0.623,0.516,0.115,0.091,0.12,NA,9.4,2665.477,194.679,112.931,36.113,2.739,NA,0.039,0.046,0.02
110723_1130_BLKB_CH7_M,28.602,1.52,3.835,0.391,0.842,1.838,0.661,0.036,0.057,0.055,0.345,1.836,1.395,0.013,0.033,0.026,6.402,1.623,NA,0.126,0.17,0.227,0.073,0.094,0.123,0.086,0.157,0.043,0.015,0.854,0.019,0.017,0.138,0.138,0.202,0.543,0.121,0.064,0.026,0.035,0.055,0.038,0.04,0.036,0.068,0.123,0.03,0.029,0.039,1424.5,34.2,90.389,11.015,13.687,20.875,0.669,0.023,0.042,0.075,0.027
120723_1330_JSGB_CH7_M,331.848,719.67,49.622,178.355,6.885,17.351,680.955,7.855,25.489,6.135,0.547,8.806,6.662,3.14,2.379,3.248,15.22,16.67,NA,0.625,2.519,160.546,0.42,0.281,0.966,0.776,1.168,1.073,0.007,44.617,2.534,0.835,6.685,5.87,6.356,19.88,2.208,0.249,0.427,0.294,1.912,0.812,0.46,0.673,1.331,3.282,0.387,0.122,0.221,558.9,9.1,14763.448,313.093,111.97,27.196,18.894,NA,0.02,0.038,0.025
140723_1500_OSBB_CH7_M,72.704,436.123,8.298,41.806,7.45,17.938,365.598,1.822,6.542,1.659,0.402,9.979,5.767,0.583,1.18,0.524,3.669,1.724,NA,0.121,0.661,78.397,0.387,0.313,0.159,0.306,0.599,0.13,0.007,15.926,0.193,0.086,0.194,1.504,1.736,3.681,0.626,0.085,0.043,0.082,0.369,0.163,0.135,0.088,0.333,0.118,0.085,0.055,0.064,NA,7.3,234.898,60.504,33.817,85.898,3.397,0.151,0.051,0.044,0.028
170723_1615_PVCB_CH7_M,300.961,971.695,75.04,258.392,6.709,37.841,1494.97,11.399,42.819,9.203,4.324,7.808,14.884,2.966,22.706,4.658,12.135,10.35,NA,0.336,3.293,2363.647,1.029,NA,0.105,0.096,0.553,1.472,0.026,223.703,0.052,0.05,2.651,17.876,18.676,41.75,49.197,0.818,0.96,5.823,4.136,4.038,0.722,12.619,6.598,5.258,1.631,0.582,2.676,1014.5,804.4,69.029,37.192,18.64,45.086,2.296,NA,0.055,0.118,0.015
170723_0930_CARPETP_CH7_M,23.449,79.351,7.964,28.816,2.963,4.335,17.848,0.675,1.847,0.672,0.372,3.713,8.005,1.288,1.272,0.924,1.882,2.106,NA,0.827,0.448,14.678,0.192,0.137,NA,0.16,0.37,0.346,0.058,12.871,0.097,0.091,0.48,5.391,1.464,56.539,0.758,0.141,0.428,2.431,0.236,0.1,1.384,0.15,0.46,0.061,0.153,0.06,0.046,213,21.4,910.943,787.667,54.155,43.001,3.594,NA,0.009,0.064,0.015
170723_1100_CARPETB_CH7_M,25.374,142.099,4.063,29.053,1.819,4.431,226.31,0.521,1.827,0.484,0.317,4.272,4.521,0.749,0.57,0.495,1.721,2.414,NA,0.127,0.432,280.169,0.108,0.137,0.176,0.134,0.245,0.205,0.018,17.508,0.054,0.057,0.211,2.496,0.953,10.651,0.337,0.089,0.086,0.183,0.164,0.127,0.133,0.102,0.279,0.159,0.067,0.039,0.062,518.7,14.3,806.738,77.21,14.937,49.463,0.87,NA,0.017,0.029,0.005
140723_1430_CPLB_CH7_M,48.632,330.793,8.159,81.653,3.141,7.221,443.436,1.179,4.459,1.146,0.372,5.657,11.468,3.499,3.436,2.333,344.978,4.326,NA,0.284,0.54,769.522,1.821,0.077,0.276,0.115,0.326,0.98,0.024,46.341,0.234,0.18,3.066,6.581,3.264,42.651,0.952,0.104,0.304,0.893,0.328,0.263,0.895,0.179,0.537,1.399,0.155,0.148,0.203,365.8,6.6,5694.035,358.45,110.344,29.016,2.516,NA,0.046,0.082,0.009
170723_1500_CPVCP_CH7_M,114.561,234.963,43.609,65.389,7.059,39.338,12.1,12.115,53.85,8.8,1.776,6.171,11.425,3.547,6.387,3.373,10.858,5.44,NA,0.217,4.357,743.177,0.822,0.132,0.353,0.087,1.285,0.194,0.115,59.97,0.079,0.291,8.75,34.544,6.429,8.25,10.423,1.628,3.173,2.901,1.35,1.415,0.491,2.945,1.31,58.894,0.519,0.296,1.009,2750.8,150.1,92.139,66.099,29.658,33.806,3.381,NA,0.063,NA,0.018
